label,n,logreg_accuracy,hinge_accuracy,delta_accuracy,logreg_precision,hinge_precision,logreg_recall,hinge_recall,logreg_f1,hinge_f1,delta_f1,eval_set
groceries,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
savings_transfer,2,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.33333333333333337,risk
taxi_rideshare,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
unclassified_transfer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
car_parking,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
department_store,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
footwear,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
gaming_online,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
home_accessories,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
money_management_service,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
pet_supplies,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
restaurant_cafe,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,risk
software,1,1.0,0.0,-1.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,-0.6666666666666666,risk
spares_repairs,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,risk
sports_tickets,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,risk
